params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Profit Factor,Expectancy [%],SQN,Kelly Criterion,Max. Drawdown Duration,Avg. Drawdown Duration
"{'n_len': 10, 'atr_multiplier': 1.0}",5402,136074.0000,-0.0535,25.5628,-48.2032,44.7249,125562.8447,189389.4707,3946.9936,39.1827,2.8185,40.3465,1.2057,0.0716,0.1109,2.2629,0.4962,-19.7560,31.2407,51.2064,-10.6591,0.1046,1.3273,1.0536,-0.3605,-0.3079,,
"{'n_len': 15, 'atr_multiplier': 1.0}",5402,125051.0000,-0.0703,21.0035,-49.4502,43.5232,121003.4781,185332.1544,3545.4332,39.2786,1.5663,38.7990,0.5435,0.0314,0.0757,-2.2702,0.4946,-19.8163,29.9440,51.0373,-10.6181,-0.0181,1.2971,0.9755,-0.2556,-0.1447,,
"{'n_len': 5, 'atr_multiplier': 1.0}",5402,113711.0000,-0.0706,20.8967,-48.9618,43.0649,120896.7159,185151.1691,3265.2231,42.2180,1.5815,38.8428,0.6326,0.0265,0.0680,-3.7256,0.4918,-19.8582,28.5783,51.1581,-10.6205,-0.1400,1.2872,0.8935,-0.4912,-0.1004,,
"{'n_len': 20, 'atr_multiplier': 1.0}",5402,113281.0000,-0.0809,18.5199,-49.5278,42.6052,118519.9015,183030.7398,3174.4827,41.3828,1.1867,38.4725,0.3022,0.0157,0.0700,-5.9696,0.4932,-19.7992,28.8437,50.5576,-10.5710,-0.1038,1.3136,0.9439,-0.5151,-0.1136,,
"{'n_len': 25, 'atr_multiplier': 1.0}",5402,103013.0000,-0.0819,16.7504,-49.3042,41.8783,116750.4495,181682.3284,2870.8920,46.6353,1.0942,38.3645,0.2392,0.0100,0.0715,-10.7319,0.4927,-19.5510,27.5999,50.1101,-10.5000,-0.1632,1.2950,0.9374,-0.6694,-0.1241,,
"{'n_len': 30, 'atr_multiplier': 1.0}",5402,95943.0000,-0.1092,11.6783,-49.8242,40.7409,111678.2792,177764.8574,2617.2324,37.0139,-0.1800,37.7198,-0.5406,-0.0449,0.0265,-10.5170,0.4877,-19.7777,25.9018,48.9445,-10.5564,-0.4085,1.2553,0.7102,-0.8174,-0.1500,0.0405,0.0405
"{'n_len': 10, 'atr_multiplier': 1.5}",5402,80560.0000,-0.1175,11.3207,-49.0146,38.5525,111320.6585,179625.6699,2202.2901,39.1827,0.2459,38.1025,-0.3609,-0.0470,0.0406,-12.5321,0.4784,-20.3572,24.7122,47.3178,-10.3901,-0.4486,1.2749,0.7828,-0.8107,-0.3239,,
"{'n_len': 15, 'atr_multiplier': 1.5}",5402,86971.0000,-0.1221,10.6346,-49.5973,38.0955,110634.5976,177644.6249,2374.0073,39.2786,-0.3593,37.0284,-0.6280,inf,0.0237,-12.5816,0.4724,-20.4203,25.2017,47.8259,-10.5629,-0.4998,1.2352,0.6676,-0.7668,-0.2895,,
"{'n_len': 20, 'atr_multiplier': 1.5}",5402,84789.0000,-0.1236,9.6545,-49.3720,37.6373,109654.4843,176210.1748,2297.3095,41.3828,-0.5005,36.6541,-0.7242,-0.0616,0.0265,-14.4478,0.4694,-20.3958,24.9239,46.4312,-10.5003,-0.5431,1.2317,0.6123,-0.9917,-0.2666,,
"{'n_len': 25, 'atr_multiplier': 1.5}",5402,81473.0000,-0.1343,7.5538,-49.3749,37.4867,107553.7962,174585.7579,2191.5569,46.6353,-0.9726,36.3089,-1.0120,-0.0803,0.0171,-19.4148,0.4708,-20.6886,24.3335,45.6852,-10.5984,-0.6544,1.2129,0.5110,-0.9139,-0.3323,0.0214,0.0214
"{'n_len': 35, 'atr_multiplier': 1.0}",5402,90453.0000,-0.1396,7.8622,-50.5460,39.7523,107862.2159,175293.3065,2424.5884,36.0981,-1.0931,37.1551,-1.1386,-0.0867,0.0075,-13.7786,0.4839,-20.3555,24.2635,47.9353,-10.5653,-0.6526,1.1911,0.4949,-0.9134,-0.1970,0.0405,0.0405
"{'n_len': 5, 'atr_multiplier': 1.5}",5402,38605.0000,-0.1443,5.8559,-45.8264,29.7712,105855.8766,173066.8574,999.1533,42.2180,-0.4133,35.0685,-0.7248,-0.0995,0.0130,-19.4527,0.4200,-20.1355,18.3912,28.8552,-9.2935,-1.2652,1.2637,0.0500,-3.1356,-1.3164,0.0093,0.0093
"{'n_len': 40, 'atr_multiplier': 1.0}",5402,85812.0000,-0.1603,4.1507,-51.1008,38.9340,104150.7438,172814.5827,2265.5245,36.7859,-1.9415,36.2037,-1.6383,-0.1216,-0.0093,-17.6163,0.4804,-20.3345,23.1687,46.4727,-10.6526,-0.9035,1.1356,0.2448,-1.0379,-4.6712,0.0405,0.0405
"{'n_len': 30, 'atr_multiplier': 1.5}",5402,78528.0000,-0.1665,3.5343,-50.0017,36.5598,103534.2956,171142.3209,2066.8957,37.0139,-1.8625,35.9915,-1.6306,-0.1231,0.0010,-18.2331,0.4644,-20.7974,23.0306,44.1385,-10.5901,-0.9272,1.1480,0.2319,-1.0949,-0.3951,0.0214,0.0214
