params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Profit Factor,Expectancy [%],SQN,Kelly Criterion,Max. Drawdown Duration,Avg. Drawdown Duration
"{'di_length': 12, 'adx_threshold': 20}",5402,50204.0000,-0.0433,3.5507,-12.6441,5.4969,103550.6822,113079.6042,1403.7240,29.9989,1.2162,10.3085,0.7373,0.6950,0.7667,2.6283,0.0472,-7.7396,42.7391,11.1518,-4.8098,0.2900,2.0076,0.4403,-0.3019,-0.8634,0.0093,0.0093
"{'di_length': 10, 'adx_threshold': 20}",5402,65657.0000,-0.0511,3.5954,-14.5696,7.2151,103595.3762,114401.7844,1831.4070,29.9989,1.1791,11.5783,0.7011,0.6002,0.7769,2.4127,0.0576,-8.3066,42.5728,12.2927,-5.0571,0.2019,1.6010,0.3464,-0.1678,-0.1834,0.0093,0.0093
"{'di_length': 10, 'adx_threshold': 25}",5402,42830.0000,-0.0520,2.9276,-11.5770,4.7106,102927.6480,111776.2242,1198.2183,29.9989,0.9972,9.4859,0.6062,0.7699,0.8790,2.1593,0.0409,-7.0337,42.9220,10.1994,-4.6902,0.2869,2.6187,0.4340,-0.2609,-0.4519,0.0093,0.0093
"{'di_length': 14, 'adx_threshold': 20}",5402,39511.0000,-0.0538,3.2228,-11.0207,4.3183,103222.8255,111702.5579,1105.2509,29.9989,1.0765,9.1333,0.6575,0.7635,0.7766,2.5227,0.0390,-7.1821,42.5824,9.7956,-4.5466,0.3360,2.9078,0.4846,-0.3126,-0.4091,0.0093,0.0093
"{'di_length': 12, 'adx_threshold': 25}",5402,30563.0000,-0.0590,2.6553,-9.5168,3.3505,102655.3225,110111.1467,858.1846,29.9989,0.9134,8.0826,0.5615,1.0721,1.0351,2.0961,0.0316,-6.3936,43.2494,8.4809,-4.2064,0.3650,3.0275,0.5084,-0.7986,-1.3111,,
"{'di_length': 10, 'adx_threshold': 30}",5402,27085.0000,-0.0667,2.0193,-8.9188,2.9832,102019.3178,109075.7159,760.7299,29.9989,0.6897,7.5063,0.4207,1.3853,1.1855,1.5180,0.0279,-5.9644,43.7312,7.6251,-4.0203,0.3666,3.5405,0.5023,-0.4904,-0.8841,0.0014,0.0014
"{'di_length': 16, 'adx_threshold': 20}",5402,31367.0000,-0.0672,2.7528,-9.6061,3.4261,102752.7775,110184.8926,876.7384,29.9989,0.9675,8.2331,0.5947,1.0875,1.0863,2.2011,0.0333,-6.6346,42.4184,8.7440,-4.2178,0.4069,5.5627,0.5566,-0.6576,-0.8018,,
"{'di_length': 18, 'adx_threshold': 20}",5402,25541.0000,-0.0697,2.5210,-8.3929,2.7883,102521.0083,109163.5516,717.2463,29.9989,0.9166,7.4374,0.5690,1.7602,1.6682,2.0965,0.0288,-6.0706,42.3208,7.7614,-3.7743,0.5028,4.0390,0.6481,-0.5682,-1.3545,,
"{'di_length': 12, 'adx_threshold': 30}",5402,18099.0000,-0.0703,1.8704,-6.9164,1.9838,101870.4262,107550.9301,519.5620,29.9989,0.6405,6.2016,0.3960,2.9715,2.3040,1.5346,0.0212,-5.2346,43.5853,5.9771,-3.1862,0.4888,4.0174,0.6139,-1.4051,-1.9816,,
"{'di_length': 14, 'adx_threshold': 25}",5402,22715.0000,-0.0717,2.2663,-7.9172,2.4810,102266.3331,108655.1253,642.2622,29.9989,0.7700,6.9282,0.4752,1.5870,1.2509,1.8675,0.0254,-5.7564,42.9166,7.0423,-3.6169,0.4471,5.1003,0.5837,-0.6330,-1.7241,,
