params,Avg. Sharpe Ratio,Avg. Return [%],Avg. Win Rate [%],Total Trades,Num Stocks Tested
"{'osc_len': 21, 'smth_len': 21, 'trail_len': 5, 'trail_mult': 15.0}",-0.06802689852810011,41.84922197485577,36.78479520191816,16148,520
"{'osc_len': 21, 'smth_len': 21, 'trail_len': 7, 'trail_mult': 10.0}",-0.07341608794641989,43.235321327596154,37.40005300214052,15622,520
"{'osc_len': 21, 'smth_len': 21, 'trail_len': 7, 'trail_mult': 12.0}",-0.07930859698148666,40.77857012432692,37.026640422981416,14907,520
"{'osc_len': 21, 'smth_len': 21, 'trail_len': 7, 'trail_mult': 15.0}",-0.08028386947498473,40.684735450384615,36.99802060713401,14065,520
"{'osc_len': 21, 'smth_len': 30, 'trail_len': 3, 'trail_mult': 10.0}",-0.03558141094664021,50.143789574038465,37.63572404389214,22925,520
"{'osc_len': 21, 'smth_len': 30, 'trail_len': 3, 'trail_mult': 12.0}",-0.04211495625794804,48.53699804225962,37.3888210619811,22462,520
"{'osc_len': 21, 'smth_len': 30, 'trail_len': 3, 'trail_mult': 15.0}",-0.05042649142541711,51.758307708557695,37.51873988028022,22166,520
"{'osc_len': 21, 'smth_len': 30, 'trail_len': 5, 'trail_mult': 10.0}",-0.06255940329430497,45.13374677110576,36.78527854688389,16532,520
"{'osc_len': 21, 'smth_len': 30, 'trail_len': 5, 'trail_mult': 12.0}",-0.0644491011843177,42.636464358125,36.74943042887172,15850,520
"{'osc_len': 21, 'smth_len': 30, 'trail_len': 5, 'trail_mult': 15.0}",-0.08053450804148628,41.09187778591347,36.38045287079475,14969,520
"{'osc_len': 21, 'smth_len': 30, 'trail_len': 7, 'trail_mult': 10.0}",-0.07587568616304158,37.57872884932692,36.80884755788532,14543,520
"{'osc_len': 21, 'smth_len': 30, 'trail_len': 7, 'trail_mult': 12.0}",-0.08325273861302505,42.67026646149039,36.65318550260809,13906,520
"{'osc_len': 21, 'smth_len': 30, 'trail_len': 7, 'trail_mult': 15.0}",-0.08867214438418371,39.97470440120192,36.58430750276477,13183,520
"{'osc_len': 30, 'smth_len': 15, 'trail_len': 3, 'trail_mult': 10.0}",-0.0519532503802996,45.83068050788462,38.45752115850796,23500,520
"{'osc_len': 30, 'smth_len': 15, 'trail_len': 3, 'trail_mult': 12.0}",-0.05607240976129515,44.93630472850962,38.25781400945707,22822,520
"{'osc_len': 30, 'smth_len': 15, 'trail_len': 3, 'trail_mult': 15.0}",-0.05788710058770276,49.67702816139423,38.895234086142786,22312,520
"{'osc_len': 30, 'smth_len': 15, 'trail_len': 5, 'trail_mult': 10.0}",-0.06106304628377436,46.366565646971154,37.38478427793611,17684,520
"{'osc_len': 30, 'smth_len': 15, 'trail_len': 5, 'trail_mult': 12.0}",-0.0701870349830228,43.87161229442308,37.316452771160755,16951,520
"{'osc_len': 30, 'smth_len': 15, 'trail_len': 5, 'trail_mult': 15.0}",-0.07693101409061513,41.045033594230766,37.04029558091287,16038,520
"{'osc_len': 30, 'smth_len': 15, 'trail_len': 7, 'trail_mult': 10.0}",-0.0701502467138659,43.64553086721154,37.82463433615705,15610,520
"{'osc_len': 30, 'smth_len': 15, 'trail_len': 7, 'trail_mult': 12.0}",-0.08168956351659118,41.67440727461538,37.47993807887057,14930,520
"{'osc_len': 30, 'smth_len': 15, 'trail_len': 7, 'trail_mult': 15.0}",-0.0846645084875304,36.818593590096164,36.82544242130433,14116,520
"{'osc_len': 30, 'smth_len': 21, 'trail_len': 3, 'trail_mult': 10.0}",-0.05619319117657792,40.657683592451924,38.04753196903384,21745,520
"{'osc_len': 30, 'smth_len': 21, 'trail_len': 3, 'trail_mult': 12.0}",-0.06306935566378866,41.165837666394225,37.94122074835934,21107,520
"{'osc_len': 30, 'smth_len': 21, 'trail_len': 3, 'trail_mult': 15.0}",-0.06794573124697367,45.9150572166827,38.14548570565046,20690,520
"{'osc_len': 30, 'smth_len': 21, 'trail_len': 5, 'trail_mult': 10.0}",-0.07509309171347199,41.462145331875,36.47607980045874,16459,520
"{'osc_len': 30, 'smth_len': 21, 'trail_len': 5, 'trail_mult': 12.0}",-0.08294586424834595,39.95500484245192,36.46993155922538,15779,520
"{'osc_len': 30, 'smth_len': 21, 'trail_len': 5, 'trail_mult': 15.0}",-0.09157932457818284,33.90568970932693,36.50085130739883,14977,520
"{'osc_len': 30, 'smth_len': 21, 'trail_len': 7, 'trail_mult': 10.0}",-0.08454438897465401,37.3258007241827,36.91820846948041,14646,520
"{'osc_len': 30, 'smth_len': 21, 'trail_len': 7, 'trail_mult': 12.0}",-0.08318060534907268,39.09285965817308,36.73073692106359,14013,520
"{'osc_len': 30, 'smth_len': 21, 'trail_len': 7, 'trail_mult': 15.0}",-0.08824275692714324,38.17531872197115,36.45716125419449,13291,520
"{'osc_len': 30, 'smth_len': 30, 'trail_len': 3, 'trail_mult': 10.0}",-0.07009684600121804,41.53559301879808,37.30612877168207,20220,520
"{'osc_len': 30, 'smth_len': 30, 'trail_len': 3, 'trail_mult': 12.0}",-0.07518518112904297,39.216136909951935,37.025958910810886,19574,520
"{'osc_len': 30, 'smth_len': 30, 'trail_len': 3, 'trail_mult': 15.0}",-0.07385052358730926,41.45682107076922,37.714038340096465,19153,520
"{'osc_len': 30, 'smth_len': 30, 'trail_len': 5, 'trail_mult': 10.0}",-0.07014063436871387,37.867159302019225,36.2053141506191,15269,520
"{'osc_len': 30, 'smth_len': 30, 'trail_len': 5, 'trail_mult': 12.0}",-0.0818017756601263,35.42348130846154,35.831021121529034,14663,520
"{'osc_len': 30, 'smth_len': 30, 'trail_len': 5, 'trail_mult': 15.0}",-0.08769708003571552,39.77632948403846,36.01365004907813,13884,520
"{'osc_len': 30, 'smth_len': 30, 'trail_len': 7, 'trail_mult': 10.0}",-0.08939329488133509,38.59650331009616,36.00033892463127,13650,520
"{'osc_len': 30, 'smth_len': 30, 'trail_len': 7, 'trail_mult': 12.0}",-0.0845957066031333,39.361984354711545,36.00716573045647,13036,520
"{'osc_len': 30, 'smth_len': 30, 'trail_len': 7, 'trail_mult': 15.0}",-0.07403307244121096,40.186176462451925,35.681503095871875,12376,520
