params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Profit Factor,Expectancy [%],SQN,Kelly Criterion,Max. Drawdown Duration,Avg. Drawdown Duration
"{'di_length': 10, 'adx_threshold': 20}",5402,65657.0000,-0.0511,3.5954,-14.5696,7.2151,103595.3762,114401.7844,1831.4070,29.9989,1.1791,11.5783,0.7011,0.6002,0.7769,2.4127,0.0576,-8.3066,42.5728,12.2927,-5.0571,0.2019,1.6010,0.3464,-0.1678,-0.1834,0.0093,0.0093
"{'di_length': 10, 'adx_threshold': 25}",5402,42830.0000,-0.0520,2.9276,-11.5770,4.7106,102927.6480,111776.2242,1198.2183,29.9989,0.9972,9.4859,0.6062,0.7699,0.8790,2.1593,0.0409,-7.0337,42.9220,10.1994,-4.6902,0.2869,2.6187,0.4340,-0.2609,-0.4519,0.0093,0.0093
"{'di_length': 15, 'adx_threshold': 20}",5402,35113.0000,-0.0618,3.0213,-10.2933,3.8370,103021.3145,110937.2440,980.3959,29.9989,1.0376,8.6993,0.6362,0.7923,0.7948,2.3798,0.0361,-6.9090,42.5067,9.3041,-4.3923,0.3736,3.2593,0.5236,-0.3864,-0.5323,,
"{'di_length': 10, 'adx_threshold': 30}",5402,27085.0000,-0.0667,2.0193,-8.9188,2.9832,102019.3178,109075.7159,760.7299,29.9989,0.6897,7.5063,0.4207,1.3853,1.1855,1.5180,0.0279,-5.9644,43.7312,7.6251,-4.0203,0.3666,3.5405,0.5023,-0.4904,-0.8841,0.0014,0.0014
"{'di_length': 20, 'adx_threshold': 20}",5402,21338.0000,-0.0779,2.4316,-7.5757,2.3324,102431.5723,108638.4713,604.8202,29.9989,0.8912,6.8950,0.5533,2.3695,1.9968,2.0707,0.0259,-5.7049,42.7850,7.0987,-3.3520,0.6248,4.7559,0.7672,-0.3695,-1.8305,,
"{'di_length': 15, 'adx_threshold': 25}",5402,19542.0000,-0.0954,1.8815,-7.2161,2.1325,101881.4569,107779.8975,557.1595,29.9989,0.6530,6.4045,0.4016,1.8663,1.4942,1.5422,0.0227,-5.4903,42.0584,6.2928,-3.3592,0.4262,4.0652,0.5567,-0.8263,-2.1618,,
"{'di_length': 25, 'adx_threshold': 20}",5402,14705.0000,-0.0975,2.0994,-5.9972,1.6053,102099.4352,107256.0611,435.0447,29.9989,0.7603,5.7525,0.4754,4.6805,3.4948,1.9014,0.0207,-5.0405,43.1223,5.5381,-2.4027,0.8488,5.9203,0.9655,-1.2094,-1.4188,0.0007,0.0007
"{'di_length': 15, 'adx_threshold': 30}",5402,10408.0000,-0.1136,1.1086,-4.7014,1.1369,101108.6280,105186.8903,330.7211,29.9989,0.3963,4.4641,0.2433,4.8443,3.4344,0.9086,0.0140,-4.3626,41.6912,3.7472,-1.9196,0.5285,3.1902,0.6173,-1.5539,-4.0860,,
"{'di_length': 20, 'adx_threshold': 25}",5402,10567.0000,-0.1212,1.3740,-4.7097,1.1493,101373.9553,105502.0114,338.0187,29.9989,0.5136,4.5757,0.3192,5.7705,4.2547,1.1853,0.0152,-4.4693,42.0452,4.1759,-1.8540,0.7069,3.7498,0.8063,-4.1828,-2.1540,,
"{'di_length': 30, 'adx_threshold': 20}",5402,11253.0000,-0.1258,1.2209,-5.0075,1.2313,101220.8743,105657.4869,354.0048,29.9989,0.4197,4.7372,0.2572,5.2029,3.8592,1.1234,0.0161,-4.6254,42.0981,4.0954,-1.8997,0.6560,4.3895,0.7475,-1.7453,-2.0877,,
"{'di_length': 25, 'adx_threshold': 25}",5402,6829.0000,-0.1276,1.1841,-3.3948,0.7515,101184.0816,104266.0469,260.5159,29.9989,0.4454,3.5113,0.2790,inf,6.0920,1.1318,0.0116,-4.0332,42.8713,3.2884,-0.7487,1.0523,3.2439,1.1231,-2.7815,-1.8197,0.0007,0.0007
"{'di_length': 30, 'adx_threshold': 25}",5402,4996.0000,-0.1326,0.6637,-2.5590,0.5540,100663.7340,103020.0197,230.5019,29.9989,0.2417,2.6085,0.1486,inf,6.5864,0.6474,0.0081,-3.7734,42.1601,2.3602,-0.4185,0.8542,3.1808,0.8981,-2.0952,-3.0341,,
"{'di_length': 25, 'adx_threshold': 30}",5402,2934.0000,-0.1417,0.5565,-1.6417,0.3258,100556.5130,102123.0278,197.4619,29.9989,0.2184,1.7865,0.1363,inf,8.9177,0.5336,0.0056,-3.6438,42.2436,2.1732,0.3479,1.1923,0.9610,1.2247,-5.0170,-2.4289,,
"{'di_length': 20, 'adx_threshold': 30}",5402,4950.0000,-0.1499,0.6240,-2.6360,0.5399,100624.0253,103060.2515,225.3697,29.9989,0.2572,2.6888,0.1582,inf,7.2744,0.5503,0.0082,-3.8661,41.3820,2.2996,-0.4373,0.8153,2.1172,0.8629,-5.6530,-1.1843,,
"{'di_length': 30, 'adx_threshold': 30}",5402,2087.0000,-0.1836,0.1611,-1.1620,0.2352,100161.1481,101261.0851,186.2894,29.9989,0.0652,1.1806,0.0376,9.0685,6.8479,0.1609,0.0035,-3.4854,39.3488,1.1707,-0.1127,0.5030,1.2564,0.5222,-4.0226,-2.1598,,
