params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Profit Factor,Expectancy [%],SQN,Kelly Criterion,Max. Drawdown Duration,Avg. Drawdown Duration
"{'len_short': 10, 'len_mid': 30, 'len_long': 180, 'adx_len': 14, 'adx_threshold': 25}",5402,29068.0000,-0.1712,3.1367,-21.2983,7.9650,103136.6632,126822.3060,887.3283,24.9913,0.0725,12.2330,-0.0949,inf,0.0189,-0.9956,0.0743,-12.9296,39.2908,16.5300,-8.3295,0.5605,7.5980,1.1967,-0.7880,-14.5400,0.0115,0.0115
"{'len_short': 15, 'len_mid': 60, 'len_long': 180, 'adx_len': 15, 'adx_threshold': 25}",5402,20443.0000,-0.1712,3.5705,-20.6393,7.8074,103570.5173,128348.4580,642.0972,24.9913,0.2480,13.1386,0.0146,inf,0.0169,-1.0388,0.0773,-12.5623,40.2585,15.0782,-7.2008,0.9742,3.8216,1.6388,-1.3555,-6.2744,0.0140,0.0140
"{'len_short': 20, 'len_mid': 40, 'len_long': 180, 'adx_len': 13, 'adx_threshold': 27}",5402,24208.0000,-0.1713,3.1313,-20.4881,7.5622,103131.3359,126613.2922,747.7244,24.9913,0.1188,11.8628,-0.0584,inf,0.0196,-0.8816,0.0718,-12.5812,39.7522,15.2984,-7.6894,0.6985,9.0349,1.3148,-0.8041,-4.2532,0.0110,0.0110
"{'len_short': 10, 'len_mid': 50, 'len_long': 180, 'adx_len': 13, 'adx_threshold': 27}",5402,22133.0000,-0.1713,3.1008,-20.5747,7.7289,103100.7748,127220.8887,689.2878,24.9913,0.1512,12.0378,-0.0433,inf,0.0166,-1.2369,0.0745,-12.6244,39.7921,15.1451,-7.4134,0.7994,2.9478,1.4385,-0.9999,-1.8887,0.0074,0.0074
"{'len_short': 15, 'len_mid': 50, 'len_long': 180, 'adx_len': 16, 'adx_threshold': 29}",5402,16547.0000,-0.1714,2.8747,-17.5665,5.8629,102874.7409,123579.4235,530.7358,24.9913,0.2552,10.3205,0.0354,inf,0.0172,-0.5708,0.0575,-11.4334,39.4869,12.4706,-5.9276,1.1047,3.4479,1.6543,-1.4368,-2.5947,0.0015,0.0015
"{'len_short': 10, 'len_mid': 30, 'len_long': 180, 'adx_len': 13, 'adx_threshold': 23}",5402,33167.0000,-0.1715,3.3227,-22.8986,9.0669,103322.7352,128663.9399,1004.3484,24.9913,0.0266,13.1287,-0.1304,inf,0.0205,-1.2857,0.0844,-13.5008,39.3697,17.9305,-8.8450,0.5482,9.1016,1.2047,-0.6455,-21.3099,0.0091,0.0091
"{'len_short': 20, 'len_mid': 30, 'len_long': 180, 'adx_len': 15, 'adx_threshold': 27}",5402,25085.0000,-0.1715,2.8461,-19.6318,6.8927,102846.1367,124725.3953,772.5174,24.9913,0.1015,11.2714,-0.0674,inf,0.0211,-0.8008,0.0646,-12.2436,39.2427,14.8726,-7.6535,0.5931,8.1961,1.1988,-0.6654,-17.5715,0.0115,0.0115
"{'len_short': 10, 'len_mid': 30, 'len_long': 180, 'adx_len': 16, 'adx_threshold': 29}",5402,20865.0000,-0.1715,2.6134,-17.7457,5.7594,102613.4274,122378.7636,654.0012,24.9913,0.1322,10.1681,-0.0374,inf,0.0181,-0.5898,0.0543,-11.5261,39.0742,13.2847,-6.7624,0.7177,3.3900,1.2698,-0.7473,-18.5129,0.0030,0.0030
"{'len_short': 20, 'len_mid': 50, 'len_long': 180, 'adx_len': 12, 'adx_threshold': 25}",5402,25299.0000,-0.1716,3.0319,-22.1515,8.7845,103031.9153,128947.1125,781.8894,24.9913,0.1007,12.9192,-0.0854,inf,0.0182,-1.7969,0.0845,-13.2573,40.0546,16.4851,-7.9622,0.8304,2.5446,1.4847,-1.1061,-1.9829,0.0074,0.0074
"{'len_short': 20, 'len_mid': 50, 'len_long': 180, 'adx_len': 16, 'adx_threshold': 29}",5402,16543.0000,-0.1716,2.8771,-17.5668,5.8615,102877.1027,123579.6664,530.6166,24.9913,0.2578,10.3223,0.0362,inf,0.0171,-0.5712,0.0575,-11.4510,39.4845,12.4777,-5.9350,1.1040,3.4346,1.6546,-1.4397,-2.5980,0.0015,0.0015
"{'len_short': 20, 'len_mid': 50, 'len_long': 180, 'adx_len': 16, 'adx_threshold': 27}",5402,18733.0000,-0.1717,3.2470,-18.8632,6.6184,103247.0343,125465.3426,590.7216,24.9913,0.2586,11.1005,0.0307,inf,0.0196,-0.5965,0.0648,-11.8996,39.8985,13.6782,-6.5497,0.9996,4.1139,1.5904,-1.0399,-2.1263,0.0050,0.0050
"{'len_short': 15, 'len_mid': 50, 'len_long': 180, 'adx_len': 16, 'adx_threshold': 27}",5402,18746.0000,-0.1718,3.2667,-18.8722,6.6231,103266.7374,125486.9552,590.8970,24.9913,0.2580,11.1057,0.0311,inf,0.0196,-0.5795,0.0648,-11.9013,39.9194,13.6822,-6.5546,1.0018,4.1251,1.5925,-1.0236,-2.1276,0.0050,0.0050
"{'len_short': 5, 'len_mid': 30, 'len_long': 180, 'adx_len': 16, 'adx_threshold': 23}",5402,29515.0000,-0.1719,2.8671,-21.4765,8.0508,102867.1107,126703.8669,899.2908,24.9913,0.0158,12.3114,-0.1281,inf,0.0195,-1.2856,0.0753,-12.9625,39.3393,16.7304,-8.3970,0.5261,16.5053,1.1638,-0.9463,-14.1762,0.0115,0.0115
"{'len_short': 15, 'len_mid': 30, 'len_long': 180, 'adx_len': 16, 'adx_threshold': 27}",5402,23880.0000,-0.1719,2.7622,-19.1913,6.5763,102762.2344,124153.2966,736.4483,24.9913,0.0987,11.0026,-0.0676,inf,0.0202,-0.7844,0.0619,-12.0608,39.2579,14.5722,-7.4308,0.6287,6.5377,1.2321,-0.7548,-15.7975,0.0092,0.0092
"{'len_short': 15, 'len_mid': 30, 'len_long': 180, 'adx_len': 13, 'adx_threshold': 25}",5402,30304.0000,-0.1719,3.1524,-21.7556,8.2719,103152.3788,127390.2938,922.0618,24.9913,0.0535,12.4840,-0.1123,inf,0.0195,-1.1289,0.0770,-13.0229,39.0264,16.9196,-8.4925,0.5367,8.2513,1.1838,-0.7724,-14.5496,0.0115,0.0115
