params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Profit Factor,Expectancy [%],SQN,Kelly Criterion,Max. Drawdown Duration,Avg. Drawdown Duration
"{'n_len': 20, 'atr_multiplier': 1.5}",5402,67396.0000,-0.1223,8.8919,-52.8861,44.8895,108891.8997,179792.0104,1819.0692,41.3828,-0.8794,390.7023,-1.0090,-0.0673,0.0223,-17.9452,0.5393,-20.5023,32.7302,47.9353,-17.2663,-0.8325,1.3098,0.9054,-0.5835,-0.3440,,
"{'n_len': 20, 'atr_multiplier': 4.0}",5402,6903.0000,-0.1481,2.2340,-54.0268,36.0730,102234.0246,172955.9024,193.1923,41.3828,-2.1180,40.9014,-1.9372,-0.1093,-0.0017,-31.0131,0.5885,-25.2136,17.1379,-8.8584,-24.6979,-18.2296,0.4423,-16.9638,-6.7322,-5.2892,,
"{'n_len': 60, 'atr_multiplier': 4.0}",5402,12590.0000,-0.1779,-1.2815,-54.1765,34.5103,98718.5128,167148.5943,317.9136,33.9992,-2.6799,37.9762,-2.2758,-0.1554,-0.0199,-26.2796,0.5330,-23.7253,20.7935,5.9258,-21.8325,-11.1587,0.8245,-9.4682,-5.0497,-3.0441,0.0405,0.0405
"{'n_len': 20, 'atr_multiplier': 3.5}",5402,11128.0000,-0.1872,-2.1398,-55.4223,44.0301,97860.1592,174505.9729,274.9983,41.3828,-3.3604,40.9454,-2.7542,-0.1631,-0.0272,-35.1126,0.5990,-24.4748,22.9661,5.8356,-23.1228,-11.6665,0.7250,-9.5674,-4.3134,-4.8081,,
"{'n_len': 40, 'atr_multiplier': 4.0}",5402,11964.0000,-0.1893,-2.6469,-55.1939,39.6666,97353.0957,170293.5429,294.4746,36.7859,-3.3341,39.3070,-2.7261,-0.1714,-0.0321,-30.5613,0.5702,-24.0923,21.0250,4.9253,-22.4844,-11.6218,1.6343,-9.8539,-4.0981,-4.3775,0.0149,0.0149
"{'n_len': 20, 'atr_multiplier': 2.0}",5402,45012.0000,-0.1912,-1.6918,-54.8441,44.5324,98308.2298,175624.8675,1169.1671,41.3828,-3.3927,4646.6956,-2.6573,-0.1682,-0.0323,-29.9152,0.5489,-21.9160,31.8540,41.7145,-19.7652,-2.3095,1.2669,-0.1689,-0.8307,-0.7674,,
"{'n_len': 80, 'atr_multiplier': 4.0}",5402,12318.0000,-0.1925,-3.3016,-53.5052,33.6499,96698.4254,163423.4449,309.6967,35.1722,-3.1180,36.6856,-2.5241,-0.1765,-0.0303,-28.4132,0.5123,-23.8757,20.5929,4.7880,-21.9749,-11.6437,0.6809,-10.0077,-4.3213,-4.0964,0.0133,0.0133
"{'n_len': 60, 'atr_multiplier': 3.5}",5402,16817.0000,-0.2093,-4.4372,-54.4474,36.0534,95562.7722,166927.1015,415.9093,33.9992,-3.6169,114.5566,-2.8684,inf,-0.0391,-28.6425,0.5191,-23.4780,23.0465,13.9836,-21.6326,-8.6324,1.1501,-6.6618,-3.7275,-4.7059,0.0405,0.0405
"{'n_len': 100, 'atr_multiplier': 4.0}",5402,11708.0000,-0.2129,-5.9749,-52.7925,32.4241,94025.0801,159008.8663,292.8018,29.5398,-3.6954,35.2996,-2.8746,-0.2038,-0.0413,-27.3886,0.4880,-24.2482,19.2766,2.1818,-22.2518,-12.6125,0.6347,-11.1289,-5.5299,-3.5710,0.0133,0.0133
"{'n_len': 120, 'atr_multiplier': 4.0}",5402,10633.0000,-0.2140,-6.3659,-51.8839,30.4141,93634.0527,154893.5803,266.8781,27.9504,-3.5984,34.3754,-2.7939,-0.2056,-0.0415,-26.6293,0.4677,-24.3829,17.7707,-1.7120,-21.9090,-13.6979,0.3840,-12.5183,-4.9251,-3.6356,0.0106,0.0106
