params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion
"{'osc_len': 30, 'smth_len': 15, 'trail_len': 3, 'trail_mult': 15.0}",5400,44501,0.23984373743531326,11.85119651319705,-15.844524512140456,545 days 19:05:52,9.883640452320277,111851.19651319706,126101.04337604638,1339.203088790903,15.57722133138555,7.59126883670409,18.059630716008883,4.683908514993477,1.1066286260481872,0.9297002537767508,10.491656534734554,0.095187800307185,-9.574306574180723,323 days 02:27:12,198 days 09:52:32,47.80544630266852,15.723561898911933,-6.543388366327851,1.3530771010085954,10 days 00:01:04,5 days 19:42:08,3.4747734530834666,1.6332633546789947,0.3558793064685023,0.02521137677815299
"{'osc_len': 15, 'smth_len': 15, 'trail_len': 5, 'trail_mult': 12.0}",5400,37444,0.21598125520882755,11.714894400835526,-14.259427155896502,545 days 19:05:52,8.19444936304049,111714.89440083552,123725.14321522655,1105.665482845678,15.57722133138555,7.494976163820605,17.716807704898194,4.627906015271683,1.219876837601393,1.0458268865007774,10.474992761451777,0.09192326285786856,-9.668755229319858,313 days 11:44:47.662097072,219 days 10:35:10.114857356,47.51687378563421,16.35317673048678,-5.962072265683333,1.5379320348438739,10 days 15:00:14.007782101,5 days 23:25:18.843802112,4.109955107591482,1.8643601751147583,0.2827741324087697,-0.09080116734246206
"{'osc_len': 15, 'smth_len': 15, 'trail_len': 5, 'trail_mult': 10.0}",5400,39021,0.2157040970691001,11.713879222582007,-14.595107369628547,545 days 19:05:52,8.538195381895843,111713.879222582,123850.62478982033,1151.0234971002455,15.57722133138555,7.504089635482691,17.906412767227785,4.632145672698739,1.184582870466189,1.0095816501890609,10.47587328955022,0.0938369524790276,-9.884764040514716,313 days 07:09:13.538347536,219 days 03:16:04.357169320,47.171072258604674,16.53542179436753,-6.041507364040422,1.4780744100600869,10 days 16:48:06.402371248,5 days 23:10:38.903297517,3.9531760917300165,1.8012572123714983,0.2877770211440316,-0.07130621510904113
"{'osc_len': 15, 'smth_len': 15, 'trail_len': 5, 'trail_mult': 15.0}",5400,35631,0.21436811251729976,11.494352696952399,-13.83723903195718,545 days 19:05:52,7.807690513740559,111494.35269695238,123208.92592814406,1050.6524639071706,15.57722133138555,7.36143770900276,17.356567706438902,4.549459130428494,1.2280395176591135,1.0644558183420518,10.296412806736527,0.08905436067572892,-9.425024082802793,313 days 20:28:11.293071508,222 days 04:14:29.655427936,47.59084398606355,15.965204398951789,-5.832231977209271,1.5961400122712905,10 days 12:54:49.827682045,5 days 23:46:23.546414674,5.0288685695145245,1.9219014879384524,0.2783361429871087,-0.06457438142781532
"{'osc_len': 30, 'smth_len': 21, 'trail_len': 3, 'trail_mult': 15.0}",5400,42054,0.21130681544160498,10.450033099020361,-15.436531659072212,545 days 19:05:52,9.385932205491182,110450.03309902037,124379.09213952316,1258.162597015278,15.57722133138555,6.67698153725247,17.070030641390815,4.11781510508725,1.0343289052527525,0.8618089443426568,9.204123206733321,0.08760391771090346,-9.391727925063542,335 days 09:21:04,206 days 22:46:40,47.21587815476704,15.079577151635194,-6.619428053591206,1.2694164292676706,9 days 08:55:12,5 days 17:55:28,3.731820883603998,1.5464842792905964,0.343133496917796,0.00282299986406343
"{'osc_len': 15, 'smth_len': 21, 'trail_len': 3, 'trail_mult': 10.0}",5400,55082,0.2089998042745802,12.834557703460495,-16.55086271186172,545 days 19:05:52,11.64810503233921,112834.5577034605,127082.54958246388,1627.5910597723612,15.57722133138555,8.203323692699422,20.677745152617415,5.037624066193897,1.0580971122480531,0.9413125023818089,11.20837146467686,0.11940269275865066,-9.792347960363786,297 days 15:29:20,174 days 08:54:40,44.31568947120417,19.699810705475386,-6.559125746347027,1.1598776445087158,11 days 08:25:36,5 days 17:19:12,2.6197025703876817,1.4866791727872273,0.2819155368368994,0.006531939635477667
"{'osc_len': 30, 'smth_len': 30, 'trail_len': 3, 'trail_mult': 15.0}",5400,39806,0.2019007921338706,9.380185092432724,-14.807259210203654,545 days 19:05:52,8.91891739328852,109380.18509243272,122922.54648942166,1189.5122451279167,15.57722133138555,5.9981076830031395,16.11672578525135,3.696609299257081,1.004317038611998,0.8480783061540783,8.267865460395168,0.08029498711474242,-9.02361097305849,346 days 00:16:00,212 days 16:10:56,47.24347971986861,14.41067802783511,-6.566063097442981,1.217033391194354,8 days 17:10:56,5 days 16:02:40,3.4751972514167226,1.4849282500403005,0.3175336303331843,-0.01919862635340874
"{'osc_len': 21, 'smth_len': 15, 'trail_len': 3, 'trail_mult': 10.0}",5400,54316,0.1914454097074175,12.085300464960126,-16.649469386888672,545 days 19:05:52,11.415164482063473,112085.30046496012,126343.15025721546,1597.6319799093053,15.57722133138555,7.710177621861655,20.66696969538413,4.731703507588777,0.9779985419655808,0.8866593668207295,10.428317923988956,0.12034943615793496,-9.808825015395723,303 days 21:46:40,176 days 12:54:24,44.118372900399045,19.09827150269107,-6.5497042994280115,1.1146507698387709,11 days 12:00:00,5 days 17:35:12,2.4524747645382803,1.430696811506245,0.2739876593722399,0.004930848634596363
"{'osc_len': 15, 'smth_len': 21, 'trail_len': 3, 'trail_mult': 12.0}",5400,55271,0.19076241561977134,12.277488471315495,-16.53535231795505,545 days 19:05:52,11.570839957336336,112277.48847131548,126154.59396927532,1620.237219636806,15.577221331385546,7.831222903858035,20.689774538513007,4.799839107368217,1.0014783380642938,0.908761892052326,10.638294408703425,0.12021897927066924,-9.871966317872158,300 days 16:56:00,175 days 17:38:56,44.07252508397589,19.56541090929981,-6.61675401449851,1.1062963037623634,11 days 08:26:56,5 days 15:41:04,2.3823525633670406,1.431295445463479,0.2603536187152602,-0.03004589244923439
"{'osc_len': 21, 'smth_len': 21, 'trail_len': 3, 'trail_mult': 10.0}",5400,51621,0.17100044612410567,11.223606404661076,-16.312944196756252,545 days 19:05:52,10.667972060996101,111223.60640466107,124828.58510945285,1502.7654687754862,15.577221331385546,7.164191426504549,20.292742160248718,4.389185250940328,0.9235355017273981,0.8566372061767153,9.609845009172032,0.11758846498157756,-9.739217655819365,311 days 14:26:24,180 days 10:43:28,43.98189961212837,18.480744397934703,-6.604414464492543,1.0997317593575735,11 days 15:09:36,5 days 16:58:40,2.3770411803889266,1.4147280704255132,0.25040017688790356,-0.046487786737667125
