params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Profit Factor,Expectancy [%],SQN,Kelly Criterion,Max. Drawdown Duration,Avg. Drawdown Duration
"{'di_length': 10, 'adx_threshold': 20}",5402,64166.0000,-0.1349,10.0623,-27.9744,22.9516,110062.3432,143674.1729,1798.9572,29.9989,2.4547,25.9967,1.3568,0.0024,0.1062,1.4440,0.2431,-13.1515,26.8390,25.4659,-5.4182,0.1573,1.4882,0.7151,-0.9309,-0.7148,0.0093,0.0093
"{'di_length': 10, 'adx_threshold': 25}",5402,42012.0000,-0.1529,7.8585,-22.6983,15.5313,107858.4649,135570.1374,1189.7926,29.9989,2.0910,20.4458,1.1955,-0.0235,0.0908,2.1724,0.1666,-11.1988,28.0976,19.2747,-5.1361,0.3454,1.7964,0.9026,-1.1346,-1.1390,0.0093,0.0093
"{'di_length': 10, 'adx_threshold': 30}",5402,26673.0000,-0.1811,5.4986,-17.7643,10.1855,105498.6276,127056.7596,759.1562,29.9989,1.5194,15.6830,0.8823,-0.0551,0.0625,1.9623,0.1095,-9.4466,29.4827,13.7017,-4.5621,0.5613,2.5526,1.0556,-1.7749,-2.3954,0.0014,0.0014
"{'di_length': 15, 'adx_threshold': 20}",5402,34174.0000,-0.2457,3.7588,-22.2385,14.1467,103758.8223,130734.2410,935.9378,29.9989,0.6920,19.4542,0.3098,-0.1641,0.0121,-1.6299,0.1621,-11.8106,24.1827,14.6763,-5.0305,-0.1312,1.8985,0.3414,-2.0651,-3.3832,,
"{'di_length': 15, 'adx_threshold': 25}",5402,19146.0000,-0.2913,2.1452,-15.8444,8.0882,102145.2490,121405.8622,541.6495,29.9989,0.3996,13.4685,0.1769,-0.2144,-0.0311,-0.8151,0.0949,-9.3418,24.6881,8.8799,-4.0767,0.0390,2.3414,0.4281,-4.6511,-4.5238,,
"{'di_length': 20, 'adx_threshold': 20}",5402,20754.0000,-0.3031,2.4468,-17.9215,9.6313,102446.7716,124831.8774,579.9335,29.9989,0.3839,38.7725,0.1302,-0.2259,-0.0314,-1.5615,0.1193,-10.2991,21.6453,9.0025,-4.3294,-0.2338,2.2482,0.1769,-3.8624,-3.4248,,
"{'di_length': 15, 'adx_threshold': 30}",5402,10242.0000,-0.3146,1.2610,-10.5365,4.3806,101260.9771,113986.4841,325.8411,29.9989,0.2391,8.9328,0.1080,-0.1782,-0.0324,-0.4236,0.0541,-7.5224,25.3165,4.7168,-2.6137,0.1449,2.9600,0.4114,-6.5084,-8.0092,,
"{'di_length': 20, 'adx_threshold': 25}",5402,10323.0000,-0.3514,0.9491,-11.2734,4.8440,100949.1226,114818.5598,329.1526,29.9989,0.1745,9.5534,0.0479,-0.2138,-0.0381,-1.0035,0.0634,-8.0469,21.7338,4.1524,-2.8543,-0.2344,2.2556,0.0073,-18.6942,-3.1718,,
"{'di_length': 25, 'adx_threshold': 20}",5402,14321.0000,-0.3526,1.2434,-15.1886,7.3173,101243.3703,120436.6461,417.8177,29.9989,0.1779,25.3932,0.0269,-0.2753,-0.0670,-2.0348,0.0969,-9.4267,20.5727,5.6323,-3.6470,-0.3929,1.9248,-0.0802,-5.5557,-3.5236,0.0007,0.0007
"{'di_length': 20, 'adx_threshold': 30}",5402,4864.0000,-0.3802,0.2350,-6.1994,2.2352,100235.0226,107815.4204,222.0383,29.9989,0.0574,5.3263,-0.0047,inf,0.0137,-0.6914,0.0309,-6.9613,21.3085,1.5867,-1.5270,-0.2452,1.2870,-0.1319,-8.0385,-1.6782,,
"{'di_length': 30, 'adx_threshold': 20}",5402,10927.0000,-0.3828,0.0214,-13.0000,5.7293,100021.4028,116219.1399,339.8866,29.9989,-0.1669,10.6086,-0.1980,-0.2950,-0.0776,-2.3280,0.0759,-8.6982,18.0847,2.6268,-3.3856,-1.0899,1.2456,-0.9244,-7.2566,-3.7826,,
"{'di_length': 25, 'adx_threshold': 25}",5402,6673.0000,-0.3845,0.4441,-8.7500,3.4394,100444.0578,111347.4711,254.2218,29.9989,0.0865,7.3761,0.0032,inf,-0.0811,-1.0271,0.0483,-7.7098,20.0403,1.9548,-2.1094,-0.4672,1.0137,-0.3370,-9.4198,-2.9102,0.0007,0.0007
"{'di_length': 25, 'adx_threshold': 30}",5402,2861.0000,-0.3910,0.3437,-4.2570,1.4629,100343.7473,105714.5613,194.6820,29.9989,0.1060,3.7396,0.0371,inf,-0.0585,-0.4141,0.0217,-7.0089,19.7298,0.7091,-1.3804,-0.4963,0.6864,-0.4066,-12.1593,-2.5897,,
"{'di_length': 30, 'adx_threshold': 25}",5402,4850.0000,-0.3963,0.0965,-6.7771,2.5512,100096.4924,108431.2082,224.4212,29.9989,-0.0424,5.6289,-0.0687,inf,-0.0658,-0.9015,0.0353,-7.3129,17.9639,0.4438,-2.3276,-1.1707,0.9005,-1.0840,-8.4381,-2.8201,,
"{'di_length': 30, 'adx_threshold': 30}",5402,2027.0000,-0.4460,-0.1528,-2.9656,0.9850,99847.1798,103431.8978,183.2295,29.9989,-0.0625,2.5427,-0.0679,-0.3242,-0.1341,-0.5708,0.0137,-6.4672,14.6559,-1.0080,-2.1485,-1.6535,0.3425,-1.6123,-13.9096,-3.8271,,
