params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Profit Factor,Expectancy [%],SQN,Kelly Criterion,Max. Drawdown Duration,Avg. Drawdown Duration
"{'n_len': 5, 'atr_multiplier': 1.2}",5402,115189.0000,0.0563,20.0704,-30.1970,11.3664,120070.4232,148746.4048,3444.4197,42.2180,3.0665,22.3871,1.8642,0.3822,0.3091,10.9587,0.1703,-15.3873,43.4348,28.4609,-9.9551,0.4565,1.5159,0.8906,0.0641,-0.2370,,
"{'n_len': 5, 'atr_multiplier': 1.4}",5402,72258.0000,0.0510,15.8385,-26.3687,6.9996,115838.4696,142107.1709,2155.7321,42.2180,2.3853,19.6490,1.4791,0.2914,0.1908,8.2057,0.1351,-14.7231,43.4329,24.7224,-9.3016,0.6453,13.4774,1.1287,0.0040,-0.1711,,
"{'n_len': 4, 'atr_multiplier': 1.0}",5402,131484.0000,0.0488,21.5122,-31.3618,13.0467,121512.2037,151436.0794,3965.3205,40.1162,3.1716,23.2542,1.9228,0.3733,0.3135,12.1960,0.1824,-15.6195,43.8871,28.7531,-10.1098,0.3982,1.4600,0.8092,0.0633,-0.1471,,
"{'n_len': 5, 'atr_multiplier': 1.0}",5402,179643.0000,0.0484,24.7265,-34.5428,17.9466,124726.4837,156981.1124,5381.5049,42.2180,3.5108,25.4727,2.1129,0.2872,0.2007,13.7376,0.2162,-16.3040,43.6583,32.0803,-10.5472,0.3345,1.3694,0.7274,0.0698,-0.5329,,
"{'n_len': 6, 'atr_multiplier': 1.2}",5402,145282.0000,0.0376,20.1054,-32.6440,14.4121,120105.4338,151068.2207,4300.0900,41.2546,2.8577,23.8562,1.7152,0.3414,0.2898,10.2528,0.1936,-16.1552,43.0439,30.3495,-10.2882,0.3364,1.3941,0.7487,0.0410,-0.4242,,
"{'n_len': 4, 'atr_multiplier': 1.2}",5402,72117.0000,0.0366,15.1246,-26.4768,7.0049,115124.5917,141697.5631,2160.4068,40.1162,2.1372,19.4825,1.3251,0.2640,0.1746,7.7652,0.1340,-14.7347,43.2679,24.3017,-9.3843,0.5240,2.2637,1.0025,-0.0155,-0.1450,,
"{'n_len': 6, 'atr_multiplier': 1.0}",5402,205661.0000,0.0365,24.3528,-35.9552,20.6445,124352.7699,157982.4956,6095.4296,41.2546,3.3882,26.4809,2.0130,0.2556,0.1822,12.7985,0.2340,-16.7486,43.6217,32.9531,-10.7211,0.2801,1.3243,0.6572,0.0614,-24.3178,,
"{'n_len': 6, 'atr_multiplier': 1.4}",5402,99258.0000,0.0349,16.8446,-29.2395,9.7142,116844.6398,145151.4434,2939.2030,41.2546,2.4732,21.4407,1.4855,0.2682,0.1954,8.3952,0.1586,-15.5437,42.6270,27.1963,-9.7715,0.4336,1.5565,0.8840,0.0008,-0.0414,,
"{'n_len': 6, 'atr_multiplier': 1.5999999999999999}",5402,67168.0000,0.0346,13.7105,-26.0485,6.4721,113710.5463,139910.0257,1983.7406,41.2546,2.0158,19.3114,1.2252,0.2600,0.1712,6.3633,0.1306,-14.9835,42.9112,24.1891,-9.1855,0.5931,2.2281,1.0842,-0.0371,-0.1781,0.0093,0.0093
"{'n_len': 7, 'atr_multiplier': 1.2}",5402,163267.0000,0.0290,19.9576,-33.6592,16.2789,119957.6112,152321.0635,4810.9822,43.1592,2.8065,24.7592,1.6734,0.3161,0.2797,9.0635,0.2078,-16.3811,42.9843,30.9232,-10.4295,0.2900,1.3534,0.6867,0.0315,-0.4026,,
"{'n_len': 7, 'atr_multiplier': 1.5999999999999999}",5402,84956.0000,0.0268,14.5556,-28.0934,8.2456,114555.6014,142043.5696,2496.2948,43.1592,2.1453,20.6257,1.2768,0.2498,0.1847,6.1839,0.1474,-15.4377,42.2949,26.0443,-9.5571,0.4650,2.0266,0.9329,-0.0338,-0.0674,0.0093,0.0093
"{'n_len': 7, 'atr_multiplier': 1.7999999999999998}",5402,60556.0000,0.0266,12.0039,-25.4939,5.7927,112003.9293,137952.7069,1778.2017,43.1592,1.7410,18.7477,1.0594,0.2451,0.1719,4.6479,0.1242,-15.0124,42.6637,23.4091,-9.0758,0.5806,2.4485,1.0809,-0.0826,-0.1766,0.0093,0.0093
"{'n_len': 7, 'atr_multiplier': 1.0}",5402,217760.0000,0.0235,22.9150,-36.5538,21.9332,122915.0288,157433.9439,6393.8094,43.1592,3.1289,26.9394,1.8163,0.2286,0.1720,10.5773,0.2421,-17.1474,43.5133,32.8543,-10.7741,0.2407,1.2936,0.6053,0.0439,-27.3522,,
"{'n_len': 5, 'atr_multiplier': 1.5999999999999999}",5402,45773.0000,0.0220,11.0624,-23.5122,4.3544,111062.4424,135383.6179,1350.5640,42.2180,1.5863,17.2466,0.9785,inf,0.1703,4.7220,0.1073,-14.4211,43.2642,21.0231,-8.5319,0.7533,3.4194,1.2732,-0.1471,-0.3140,0.0093,0.0093
"{'n_len': 7, 'atr_multiplier': 1.4}",5402,118844.0000,0.0217,16.8439,-31.0706,11.6940,116843.9063,146876.1442,3493.0642,43.1592,2.3586,22.5427,1.3963,0.2390,0.1817,7.3561,0.1752,-16.0691,42.3181,28.5199,-10.0313,0.3280,1.4381,0.7584,-0.0117,-0.4510,,
"{'n_len': 6, 'atr_multiplier': 1.7999999999999998}",5402,45893.0000,0.0205,10.6272,-23.6142,4.3524,110627.2239,135083.1724,1347.9921,41.2546,1.5165,17.4212,0.9291,0.2414,0.1643,4.3231,0.1084,-14.5966,43.0455,21.1073,-8.6300,0.7013,3.3436,1.2281,-0.1526,-0.4434,0.0093,0.0093
