params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Profit Factor,Expectancy [%],SQN,Kelly Criterion,Max. Drawdown Duration,Avg. Drawdown Duration
"{'n_len': 8, 'atr_multiplier': 1.2}",5402,173877.0000,0.0181,19.0481,-34.3190,17.3824,119048.0779,151778.4380,5084.2439,42.3324,2.6066,25.1490,1.5341,0.2966,0.2722,8.1557,0.2154,-16.7508,42.9089,30.9366,-10.5044,0.2524,1.3234,0.6363,0.0143,-0.4022,,
"{'n_len': 8, 'atr_multiplier': 1.7999999999999998}",5402,72843.0000,0.0174,12.2630,-27.1447,7.0022,112263.0354,139229.6234,2127.3635,42.3324,1.7210,19.7585,1.0268,0.2289,0.1708,4.5631,0.1372,-15.5364,42.0362,24.7795,-9.3862,0.4471,2.2812,0.9289,-0.0845,-0.0970,0.0093,0.0093
"{'n_len': 8, 'atr_multiplier': 1.0}",5402,223094.0000,0.0161,22.2369,-36.7540,22.5219,122236.8928,157086.7032,6514.0569,42.3324,3.0133,27.0893,1.7390,0.2152,0.1681,10.2568,0.2454,-17.1779,43.5024,32.5167,-10.7845,0.2269,1.2851,0.5834,0.0292,-24.2922,,
"{'n_len': 9, 'atr_multiplier': 1.0}",5402,225406.0000,0.0102,21.3889,-36.8417,22.7690,121388.8827,156084.6855,6553.3934,41.0885,2.8930,27.1100,1.6623,0.2079,0.1671,9.8087,0.2470,-17.2419,43.4763,32.2196,-10.7707,0.2133,1.2824,0.5637,0.0165,-27.3381,,
"{'n_len': 8, 'atr_multiplier': 1.4}",5402,132023.0000,0.0097,16.1877,-32.1684,13.0485,116187.7009,147314.3893,3853.6340,42.3324,2.0834,23.2037,1.2340,0.1980,0.1471,6.3817,0.1867,-16.4013,42.1972,29.0228,-10.1963,0.2530,1.3678,0.6698,-0.0431,-0.4399,,
"{'n_len': 8, 'atr_multiplier': 1.5999999999999999}",5402,98547.0000,0.0095,14.0810,-29.6256,9.5994,114080.9660,143030.9008,2876.3360,42.3324,1.8852,21.4793,1.1032,0.2079,0.1525,5.3717,0.1602,-15.9067,41.7898,27.0247,-9.8014,0.3171,1.5094,0.7701,-0.0587,-0.1818,,
"{'n_len': 9, 'atr_multiplier': 1.2}",5402,180636.0000,0.0050,17.7812,-34.9920,18.0724,117781.2444,151337.6163,5252.3518,41.0885,2.3171,25.3564,1.3363,0.2756,0.2666,7.0095,0.2200,-17.0093,42.7750,30.8103,-10.5330,0.2052,1.3022,0.5804,-0.0128,-24.3556,,
"{'n_len': 9, 'atr_multiplier': 1.4}",5402,141316.0000,0.0006,15.6872,-32.9674,13.9861,115687.1735,147614.0000,4107.9377,41.0885,1.9108,23.6534,1.1054,0.1786,0.1365,5.8507,0.1942,-16.5607,42.1708,29.1491,-10.2525,0.2024,1.3386,0.6057,-0.0466,-0.0411,,
"{'n_len': 9, 'atr_multiplier': 1.7999999999999998}",5402,83117.0000,-0.0046,11.3943,-28.6837,7.9997,111394.3202,139850.8523,2410.1028,41.0885,1.3793,20.4324,0.7933,0.1816,0.1379,3.5020,0.1477,-16.0598,41.3809,25.5399,-9.6476,0.2816,1.5583,0.7486,-0.1220,-0.0972,0.0093,0.0093
"{'n_len': 9, 'atr_multiplier': 1.5999999999999999}",5402,109055.0000,-0.0077,13.3527,-30.8737,10.6486,113352.7430,143509.4639,3163.8975,41.0885,1.6189,22.0960,0.9218,0.1763,0.1385,4.4715,0.1699,-16.3578,41.6678,27.4144,-9.9629,0.2275,1.4280,0.6649,-0.0918,-0.1530,,
"{'n_len': 4, 'atr_multiplier': 1.4}",5402,40293.0000,-0.0190,8.0385,-23.0106,3.8142,108038.5279,131892.8619,1184.5426,40.1162,0.9215,16.2710,0.5554,inf,0.1550,2.3832,0.0978,-14.5716,41.1023,19.4010,-8.3731,0.4559,2.8610,0.9736,-0.6294,-0.9325,0.0093,0.0093
"{'n_len': 5, 'atr_multiplier': 1.7999999999999998}",5402,29829.0000,-0.0238,6.7789,-21.2753,2.7802,106778.9266,129311.6201,871.5097,42.2180,0.7543,15.1513,0.4429,0.2067,0.1377,1.5160,0.0852,-14.3349,41.6853,17.1812,-7.6077,0.6888,5.8568,1.2293,-2.1959,-1.1364,0.0093,0.0093
"{'n_len': 4, 'atr_multiplier': 1.5999999999999999}",5402,23321.0000,-0.0771,3.5002,-19.8846,2.1521,103500.2381,124433.2802,677.8796,40.1162,0.0628,13.5225,0.0172,0.2537,0.1603,-0.9080,0.0712,-14.2156,37.1481,14.3765,-7.3506,0.0601,3.8843,0.5940,-1.5829,-1.4322,,
"{'n_len': 4, 'atr_multiplier': 1.7999999999999998}",5402,12817.0000,-0.1189,1.1147,-15.7650,1.1623,101114.7369,117426.6904,390.4788,40.1162,-0.2900,10.6574,-0.2061,0.8492,0.4925,-2.0461,0.0478,-13.7434,33.2188,8.6558,-6.0393,-0.4398,2.1639,0.0401,-25.9704,-2.2615,0.0405,0.0405
