params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Profit Factor,Expectancy [%],SQN,Kelly Criterion,Max. Drawdown Duration,Avg. Drawdown Duration
"{'n_len': 5, 'atr_multiplier': 1.0}",5402,179643.0000,0.0484,24.7265,-34.5428,17.9466,124726.4837,156981.1124,5381.5049,42.2180,3.5108,25.4727,2.1129,0.2872,0.2007,13.7376,0.2162,-16.3040,43.6583,32.0803,-10.5472,0.3345,1.3694,0.7274,0.0698,-0.5329,,
"{'n_len': 5, 'atr_multiplier': 1.5}",5402,57353.0000,0.0390,13.3746,-24.7892,5.5029,113374.5745,138643.4655,1701.3748,42.2180,1.9765,18.3812,1.2297,0.2761,0.1855,6.4371,0.1202,-14.5345,43.2310,22.9730,-8.9505,0.6926,3.8559,1.1991,-0.1815,-0.2093,0.0093,0.0093
"{'n_len': 25, 'atr_multiplier': 1.0}",5402,191067.0000,0.0143,16.4348,-34.3417,19.3589,116434.8142,145775.7064,5452.3690,46.6353,2.1736,23.5768,1.2648,0.2090,0.1618,6.8444,0.1994,-15.6614,44.7073,27.4952,-10.2583,0.2311,1.3335,0.5411,0.0103,-0.1659,,
"{'n_len': 30, 'atr_multiplier': 1.0}",5402,177393.0000,0.0062,14.4306,-33.3340,17.9822,114430.6438,142671.0995,5040.2683,37.0139,1.8444,22.6163,1.0670,0.1879,0.1448,7.4347,0.1860,-15.3340,44.6261,26.4470,-10.0917,0.2158,1.3529,0.5216,-0.0230,-0.0445,0.0405,0.0405
"{'n_len': 10, 'atr_multiplier': 1.0}",5402,226339.0000,0.0033,20.8678,-37.0981,22.8837,120867.8327,155566.0691,6559.5568,39.1827,2.6762,27.0002,1.5068,0.1991,0.1621,9.9154,0.2467,-17.3931,43.4670,31.9888,-10.7783,0.1904,1.2710,0.5372,-0.0032,-0.0257,,
"{'n_len': 20, 'atr_multiplier': 1.0}",5402,206426.0000,-0.0060,16.3201,-36.1666,20.9089,116320.1143,147210.6570,5862.0455,41.3828,1.9944,24.7140,1.1096,0.1807,0.1567,6.8980,0.2169,-16.2670,44.3261,28.3267,-10.5518,0.1690,1.2731,0.4807,-0.0186,-0.1727,,
"{'n_len': 10, 'atr_multiplier': 1.5}",5402,132092.0000,-0.0190,13.3893,-32.8847,13.0011,113389.2794,145321.8052,3810.5335,39.1827,1.4851,23.2163,0.8217,0.1533,0.1292,4.0815,0.1880,-16.9339,41.6697,28.5844,-10.2217,0.1532,1.3557,0.5668,-0.0961,-7.7462,,
"{'n_len': 15, 'atr_multiplier': 1.0}",5402,220333.0000,-0.0198,16.1215,-37.7363,22.2888,116121.4898,149928.8612,6268.3344,39.2786,1.8621,26.0105,0.9784,0.1515,0.1338,6.0092,0.2355,-17.0118,43.4774,30.1754,-10.7119,0.1390,1.2489,0.4661,-0.0489,-0.3684,,
"{'n_len': 10, 'atr_multiplier': 2.0}",5402,71175.0000,-0.0223,9.0084,-27.8731,6.7678,109008.4114,137049.9438,2052.4433,39.1827,0.8864,19.4256,0.4869,0.1456,0.1132,1.8457,0.1368,-16.1160,40.9229,24.1193,-9.5395,0.2132,1.6388,0.6919,-0.1863,-0.3191,0.0093,0.0093
"{'n_len': 35, 'atr_multiplier': 1.0}",5402,166049.0000,-0.0230,10.9279,-32.9322,16.8039,110927.9408,139059.3724,4664.5516,36.0981,1.1257,21.6920,0.6050,0.1394,0.1216,4.6403,0.1750,-15.7762,44.2316,25.3403,-9.9471,0.1455,1.3627,0.4436,-0.1553,-0.0598,0.0405,0.0405
"{'n_len': 25, 'atr_multiplier': 1.5}",5402,155906.0000,-0.0244,12.0777,-33.5656,15.5808,112077.7252,142637.3242,4406.9609,46.6353,1.2870,22.7880,0.6612,0.1391,0.1289,2.5193,0.1884,-16.5549,43.0432,26.8464,-10.1430,0.1641,1.2919,0.5082,-0.0980,-0.1138,0.0214,0.0214
"{'n_len': 40, 'atr_multiplier': 1.0}",5402,157148.0000,-0.0276,9.7049,-32.5115,15.8997,109704.8853,137955.3964,4434.4932,36.7859,0.9085,21.0849,0.4652,0.1270,0.1104,3.6582,0.1669,-15.1279,44.1178,24.6512,-9.7876,0.1263,1.2697,0.4233,-0.1570,-0.5988,0.0405,0.0405
"{'n_len': 10, 'atr_multiplier': 2.5}",5402,38559.0000,-0.0287,6.3427,-23.3679,3.5606,106342.6554,130758.9117,1110.4671,39.1827,0.5678,16.3601,0.3187,inf,0.1077,0.8197,0.1002,-15.1355,41.2213,19.2593,-8.5717,0.4197,2.4307,0.9559,-0.4049,-0.9052,,
"{'n_len': 20, 'atr_multiplier': 1.5}",5402,157776.0000,-0.0358,11.9797,-34.3518,15.7212,111979.7066,143506.8975,4459.1217,41.3828,1.1352,23.2985,0.5469,0.1233,0.1223,2.9364,0.1955,-16.8164,42.4615,27.4216,-10.2833,0.1207,1.2741,0.4763,-0.1245,-0.1197,,
"{'n_len': 30, 'atr_multiplier': 1.5}",5402,150641.0000,-0.0397,10.0701,-33.3321,15.0588,110070.1112,140069.4453,4216.9302,37.0139,0.8558,22.0007,0.4032,0.1165,0.1145,2.9824,0.1793,-16.2990,42.8238,25.8984,-9.9385,0.1187,1.2769,0.4528,-0.1218,-0.1733,0.0214,0.0214
"{'n_len': 45, 'atr_multiplier': 1.0}",5402,149592.0000,-0.0421,8.2653,-32.1897,15.1209,108265.3001,136257.2814,4197.9010,38.2351,0.5578,20.4761,0.2496,0.1039,0.0972,2.2285,0.1593,-15.2997,43.6616,23.9633,-9.7292,0.0870,1.2607,0.3820,-0.1945,-0.5373,0.0256,0.0256
"{'n_len': 50, 'atr_multiplier': 1.0}",5402,142964.0000,-0.0491,7.2678,-31.8061,14.4264,107267.8183,135138.5158,4011.6745,34.9230,0.4128,20.0046,0.1489,0.0927,0.0938,1.9840,0.1527,-15.4040,43.5264,23.6062,-9.6774,0.0755,1.2701,0.3733,-0.2171,-0.3931,0.0398,0.0398
"{'n_len': 35, 'atr_multiplier': 1.5}",5402,144899.0000,-0.0497,8.5014,-32.9984,14.4642,108501.3634,137866.2894,4036.4561,36.0981,0.5205,21.3698,0.2063,0.0927,0.1005,1.9560,0.1719,-16.5257,42.5838,25.2495,-9.8426,0.0841,1.2696,0.4157,-0.1532,-0.1888,0.0405,0.0405
"{'n_len': 55, 'atr_multiplier': 1.0}",5402,137082.0000,-0.0535,6.6063,-31.3388,13.8236,106606.3411,134046.2220,3841.4115,35.5634,0.3170,19.6594,0.0963,0.0818,0.0845,1.3896,0.1472,-15.1723,43.7033,23.1916,-9.6956,0.0731,1.2807,0.3705,-0.1765,-0.4896,,
"{'n_len': 25, 'atr_multiplier': 2.0}",5402,118435.0000,-0.0590,8.6926,-32.1854,11.6044,108692.6258,139157.0213,3339.3409,46.6353,0.5646,21.4198,0.1860,0.0897,0.1028,-0.4223,0.1689,-17.1064,41.2951,25.5996,-9.9021,0.0789,1.3240,0.4691,-0.2224,-0.1381,,
"{'n_len': 15, 'atr_multiplier': 1.5}",5402,153395.0000,-0.0620,9.9530,-35.2480,15.1412,109952.9659,143062.7126,4323.0157,39.2786,0.6152,23.6267,0.1932,inf,0.1052,0.6057,0.1997,-17.5491,41.3524,28.2092,-10.3862,0.0273,1.2363,0.4053,-0.1885,-0.2216,,
"{'n_len': 20, 'atr_multiplier': 2.0}",5402,111494.0000,-0.0623,8.7225,-31.8820,10.8587,108722.5194,139430.5551,3163.3742,41.3828,0.5572,21.4383,0.1741,0.0858,0.1025,0.2976,0.1672,-17.1636,40.8373,25.7500,-9.8194,0.0697,1.3375,0.4759,-0.2351,-0.1241,,
"{'n_len': 50, 'atr_multiplier': 1.5}",5402,128834.0000,-0.0665,5.9880,-31.6042,12.8408,105988.0456,134067.8867,3582.0142,34.9230,0.1604,19.9489,-0.0340,0.0610,0.0788,0.4318,0.1521,-16.0127,42.5554,23.8019,-9.5751,0.0633,1.2903,0.3963,-0.1918,-0.1073,0.0256,0.0256
"{'n_len': 15, 'atr_multiplier': 2.0}",5402,97595.0000,-0.0670,7.2263,-31.1456,9.3734,107226.2513,137779.1273,2771.4868,39.2786,0.3821,21.0495,0.0934,inf,0.0952,-0.8941,0.1598,-17.3169,40.0773,25.5863,-9.8722,0.0065,1.3153,0.4467,-0.2587,-0.1379,0.0093,0.0093
"{'n_len': 55, 'atr_multiplier': 1.5}",5402,124234.0000,-0.0687,5.4250,-31.1734,12.3800,105424.9979,133163.2228,3454.7298,35.5634,0.0515,19.5258,-0.0962,inf,0.0780,-0.0438,0.1467,-15.9129,42.5437,23.2695,-9.5735,0.0469,1.2765,0.3771,-0.2453,-0.1129,0.0398,0.0398
"{'n_len': 40, 'atr_multiplier': 1.5}",5402,139345.0000,-0.0702,6.5383,-32.7550,13.9062,106538.3259,135817.6183,3874.2272,36.7859,0.0745,20.7231,-0.0760,0.0607,0.0816,0.2308,0.1643,-16.4876,42.4046,24.5092,-9.7636,0.0251,1.2735,0.3522,-0.2004,-0.3146,0.0405,0.0405
"{'n_len': 15, 'atr_multiplier': 2.5}",5402,60925.0000,-0.0712,5.6176,-27.4242,5.6989,105617.6241,133699.1920,1740.9382,39.2786,0.1604,18.4534,-0.0053,0.0720,0.0815,-1.2186,0.1259,-16.4024,38.9475,22.3605,-9.3483,-0.0265,1.5560,0.4682,-0.3938,-0.3065,,
"{'n_len': 45, 'atr_multiplier': 1.5}",5402,133919.0000,-0.0721,5.9051,-32.1867,13.3627,105905.0867,134775.7980,3719.0315,38.2351,0.0233,20.2718,-0.1120,0.0534,0.0747,-0.3898,0.1578,-16.1369,42.3832,24.0544,-9.7096,0.0254,1.2511,0.3555,-0.2079,-0.2387,0.0405,0.0405
"{'n_len': 10, 'atr_multiplier': 3.0}",5402,22530.0000,-0.0751,3.0430,-20.3322,2.0182,103043.0199,124453.2257,645.1347,39.1827,-0.0584,13.7290,-0.0614,0.3089,0.1794,-1.3484,0.0741,-14.7525,38.7550,14.2311,-7.3179,0.2432,4.9038,0.7785,-3.7090,-1.5686,,
"{'n_len': 5, 'atr_multiplier': 2.0}",5402,19865.0000,-0.0774,2.9497,-19.1510,1.8056,102949.7134,123166.0033,575.9869,42.2180,-0.0053,12.9953,-0.0194,0.2311,0.1469,-1.2160,0.0667,-14.3347,37.7864,12.9587,-6.8911,0.1525,3.3440,0.6710,-2.2083,-1.6733,,
